"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","species.1","n_bio2","mean_bio2","sd_bio2","se_bio2","species.2","n_bio3","mean_bio3","sd_bio3","se_bio3","species.3","n_bio4","mean_bio4","sd_bio4","se_bio4","species.4","n_bio5","mean_bio5","sd_bio5","se_bio5","species.5","n_bio6","mean_bio6","sd_bio6","se_bio6","species.6","n_bio7","mean_bio7","sd_bio7","se_bio7","species.7","n_bio8","mean_bio8","sd_bio8","se_bio8","species.8","n_bio9","mean_bio9","sd_bio9","se_bio9","species.9","n_bio10","mean_bio10","sd_bio10","se_bio10","species.10","n_bio11","mean_bio11","sd_bio11","se_bio11","species.11","n_bio12","mean_bio12","sd_bio12","se_bio12","species.12","n_bio13","mean_bio13","sd_bio13","se_bio13","species.13","n_bio14","mean_bio14","sd_bio14","se_bio14","species.14","n_bio15","mean_bio15","sd_bio15","se_bio15","species.15","n_bio16","mean_bio16","sd_bio16","se_bio16","species.16","n_bio17","mean_bio17","sd_bio17","se_bio17","species.17","n_bio18","mean_bio18","sd_bio18","se_bio18","species.18","n_bio19","mean_bio19","sd_bio19","se_bio19","species.19","n_alt","mean_alt","sd_alt","se_alt"
"11","Memecylon flavovirens","20","201.9","21.18","4.74","Memecylon flavovirens","20","128.6","18.2","4.07","Memecylon flavovirens","20","61.35","5.78","1.29","Memecylon flavovirens","20","1854.75","644.49","144.11","Memecylon flavovirens","20","299.5","23.2","5.19","Memecylon flavovirens","20","89.55","35.38","7.91","Memecylon flavovirens","20","209.95","38.6","8.63","Memecylon flavovirens","20","211.25","19.03","4.26","Memecylon flavovirens","20","176.6","28.81","6.44","Memecylon flavovirens","20","220.35","20.53","4.59","Memecylon flavovirens","20","174.3","25.81","5.77","Memecylon flavovirens","20","1153.45","180.47","40.35","Memecylon flavovirens","20","239.3","30.46","6.81","Memecylon flavovirens","20","1.35","4.52","1.01","Memecylon flavovirens","20","97.25","16.43","3.67","Memecylon flavovirens","20","656.45","106.24","23.76","Memecylon flavovirens","20","9.2","22.52","5.04","Memecylon flavovirens","20","319.85","96.4","21.56","Memecylon flavovirens","20","18.6","52.13","11.66","Memecylon flavovirens","20","1328.4","421.61","94.27"
"12","Tristemma oreophilum","16","242.81","11.82","2.96","Tristemma oreophilum","16","90.81","12.42","3.1","Tristemma oreophilum","16","72.62","4.13","1.03","Tristemma oreophilum","16","1012.94","213.98","53.49","Tristemma oreophilum","16","304.75","12.44","3.11","Tristemma oreophilum","16","180.12","16.21","4.05","Tristemma oreophilum","16","124.62","17.87","4.47","Tristemma oreophilum","16","244.12","13.18","3.3","Tristemma oreophilum","16","229.31","11.82","2.96","Tristemma oreophilum","16","252.56","12.24","3.06","Tristemma oreophilum","16","227.06","12.02","3","Tristemma oreophilum","16","2011.38","330.61","82.65","Tristemma oreophilum","16","359.31","66.62","16.66","Tristemma oreophilum","16","9.94","11.99","3","Tristemma oreophilum","16","65","6.23","1.56","Tristemma oreophilum","16","846.56","155.71","38.93","Tristemma oreophilum","16","62","52.26","13.06","Tristemma oreophilum","16","650.88","114.26","28.57","Tristemma oreophilum","16","102.06","158.13","39.53","Tristemma oreophilum","16","400","267","66.75"
"13","Tristemma demeusei","12","237.25","16.15","4.66","Tristemma demeusei","12","97.83","14.35","4.14","Tristemma demeusei","12","77.08","4.14","1.2","Tristemma demeusei","12","840.58","213.48","61.63","Tristemma demeusei","12","302.33","14.83","4.28","Tristemma demeusei","12","176.25","20.79","6","Tristemma demeusei","12","126.08","16.17","4.67","Tristemma demeusei","12","234.58","17.72","5.12","Tristemma demeusei","12","232.33","18.54","5.35","Tristemma demeusei","12","246.08","16.19","4.67","Tristemma demeusei","12","224.92","16.88","4.87","Tristemma demeusei","12","2019.67","550.68","158.97","Tristemma demeusei","12","347.67","109.56","31.63","Tristemma demeusei","12","25.42","17.06","4.92","Tristemma demeusei","12","58.42","10.24","2.96","Tristemma demeusei","12","865.83","318.93","92.07","Tristemma demeusei","12","122.83","57.41","16.57","Tristemma demeusei","12","542.42","130.98","37.81","Tristemma demeusei","12","415.67","501.84","144.87","Tristemma demeusei","12","551.33","305.64","88.23"
"14","Melastoma beccarianum","6","248.5","22.97","9.38","Melastoma beccarianum","6","73.83","3.06","1.25","Melastoma beccarianum","6","87.33","2.73","1.11","Melastoma beccarianum","6","320","87.88","35.88","Melastoma beccarianum","6","292.67","24.98","10.2","Melastoma beccarianum","6","208.5","21.83","8.91","Melastoma beccarianum","6","84.17","4.92","2.01","Melastoma beccarianum","6","246","20.88","8.52","Melastoma beccarianum","6","247.83","22.68","9.26","Melastoma beccarianum","6","252.33","23.72","9.68","Melastoma beccarianum","6","244","21.68","8.85","Melastoma beccarianum","6","2536.17","463.85","189.37","Melastoma beccarianum","6","284.17","50.66","20.68","Melastoma beccarianum","6","155.17","40.17","16.4","Melastoma beccarianum","6","17.83","5.08","2.07","Melastoma beccarianum","6","764.83","151.94","62.03","Melastoma beccarianum","6","513.83","114.23","46.63","Melastoma beccarianum","6","607.33","103.17","42.12","Melastoma beccarianum","6","678.83","138.21","56.42","Melastoma beccarianum","6","429.17","437.04","178.42"
"15","Melastoma orientale","13","257.77","13.83","3.84","Melastoma orientale","13","93.69","8.64","2.4","Melastoma orientale","13","66.38","12.43","3.45","Melastoma orientale","13","1143.69","733.34","203.39","Melastoma orientale","13","328.77","21.29","5.9","Melastoma orientale","13","183","29.94","8.3","Melastoma orientale","13","145.77","36.87","10.23","Melastoma orientale","13","257.92","11.55","3.2","Melastoma orientale","13","246.46","21.14","5.86","Melastoma orientale","13","271.15","14.32","3.97","Melastoma orientale","13","241.69","20.77","5.76","Melastoma orientale","13","2318.54","728.86","202.15","Melastoma orientale","13","395.62","143.26","39.73","Melastoma orientale","13","37.31","43.99","12.2","Melastoma orientale","13","67.08","24.65","6.84","Melastoma orientale","13","1073.69","412.65","114.45","Melastoma orientale","13","146.62","144.08","39.96","Melastoma orientale","13","528.15","191.96","53.24","Melastoma orientale","13","275.62","246.97","68.5","Melastoma orientale","13","275.46","241.1","66.87"
"16","Dissochaeta divaricata","56","253.32","21.32","2.85","Dissochaeta divaricata","56","84.68","10.27","1.37","Dissochaeta divaricata","56","83.75","6.86","0.92","Dissochaeta divaricata","56","426.84","203.36","27.18","Dissochaeta divaricata","56","306.02","22.19","2.97","Dissochaeta divaricata","56","204.66","24.36","3.26","Dissochaeta divaricata","56","101.36","15.99","2.14","Dissochaeta divaricata","56","250.25","21.02","2.81","Dissochaeta divaricata","56","252.68","22.11","2.95","Dissochaeta divaricata","56","258.14","21.3","2.85","Dissochaeta divaricata","56","247.52","21.67","2.9","Dissochaeta divaricata","56","2606.46","574.71","76.8","Dissochaeta divaricata","56","343.89","106.72","14.26","Dissochaeta divaricata","56","114.18","51.91","6.94","Dissochaeta divaricata","56","34.39","17.52","2.34","Dissochaeta divaricata","56","931.64","271.26","36.25","Dissochaeta divaricata","56","390.79","164.33","21.96","Dissochaeta divaricata","56","593.12","157.71","21.07","Dissochaeta divaricata","56","705.96","283.39","37.87","Dissochaeta divaricata","56","310.25","384.5","51.38"
"17","Melastoma sanguineum","51","231.33","26.49","3.71","Melastoma sanguineum","51","85.86","16.63","2.33","Melastoma sanguineum","51","52.65","20.52","2.87","Melastoma sanguineum","51","3090.59","2069.94","289.85","Melastoma sanguineum","51","314.37","27.31","3.82","Melastoma sanguineum","51","136.1","47.13","6.6","Melastoma sanguineum","51","178.27","51.1","7.16","Melastoma sanguineum","51","255.96","29.68","4.16","Melastoma sanguineum","51","197.12","42.33","5.93","Melastoma sanguineum","51","265.88","28.14","3.94","Melastoma sanguineum","51","187.92","45.38","6.35","Melastoma sanguineum","51","1906.69","641.14","89.78","Melastoma sanguineum","51","337.2","103.61","14.51","Melastoma sanguineum","51","42.8","45.05","6.31","Melastoma sanguineum","51","66.35","18.9","2.65","Melastoma sanguineum","51","888.75","262.33","36.73","Melastoma sanguineum","51","151.2","140.68","19.7","Melastoma sanguineum","51","631.94","220.5","30.88","Melastoma sanguineum","51","288.82","374.76","52.48","Melastoma sanguineum","51","364.27","481.76","67.46"
"18","Miconia pepericarpa","35","208.77","21.54","3.64","Miconia pepericarpa","35","115.29","11.18","1.89","Miconia pepericarpa","35","68.17","3.4","0.57","Miconia pepericarpa","35","1500.43","458.46","77.49","Miconia pepericarpa","35","284.46","23.33","3.94","Miconia pepericarpa","35","116.4","25.74","4.35","Miconia pepericarpa","35","168.06","16.36","2.77","Miconia pepericarpa","35","220.34","17.4","2.94","Miconia pepericarpa","35","191.06","27.73","4.69","Miconia pepericarpa","35","223.63","18.31","3.09","Miconia pepericarpa","35","186.51","26.08","4.41","Miconia pepericarpa","35","1430.09","342.41","57.88","Miconia pepericarpa","35","268.09","59.25","10.02","Miconia pepericarpa","35","13.77","16.92","2.86","Miconia pepericarpa","35","75.86","13.05","2.21","Miconia pepericarpa","35","720.83","157.23","26.58","Miconia pepericarpa","35","51.31","53.73","9.08","Miconia pepericarpa","35","479.86","193.25","32.67","Miconia pepericarpa","35","79.94","60.2","10.18","Miconia pepericarpa","35","934.63","262.68","44.4"
"19","Miconia alborufescens","66","233.79","23.63","2.91","Miconia alborufescens","66","108.77","18.03","2.22","Miconia alborufescens","66","73.83","7.17","0.88","Miconia alborufescens","66","1035.52","506.67","62.37","Miconia alborufescens","66","307.11","25.2","3.1","Miconia alborufescens","66","158.89","36.67","4.51","Miconia alborufescens","66","148.21","31.07","3.82","Miconia alborufescens","66","235.55","20.04","2.47","Miconia alborufescens","66","228.38","32.58","4.01","Miconia alborufescens","66","244.27","23","2.83","Miconia alborufescens","66","218.79","28.32","3.49","Miconia alborufescens","66","1643.91","644.92","79.38","Miconia alborufescens","66","277.61","92.33","11.37","Miconia alborufescens","66","31.2","34.19","4.21","Miconia alborufescens","66","65.83","16.39","2.02","Miconia alborufescens","66","759.7","261.63","32.2","Miconia alborufescens","66","116.64","116.49","14.34","Miconia alborufescens","66","347.65","163.67","20.15","Miconia alborufescens","66","389.76","399.02","49.12","Miconia alborufescens","66","596.11","367.72","45.26"
"20","Pseudoernestia glandulosa","6","253.83","9.11","3.72","Pseudoernestia glandulosa","6","86","3.41","1.39","Pseudoernestia glandulosa","6","77.17","2.32","0.95","Pseudoernestia glandulosa","6","535.83","98.2","40.09","Pseudoernestia glandulosa","6","315","7.8","3.18","Pseudoernestia glandulosa","6","204.5","7.61","3.11","Pseudoernestia glandulosa","6","110.5","3.27","1.33","Pseudoernestia glandulosa","6","252.17","9.95","4.06","Pseudoernestia glandulosa","6","259.17","11.58","4.73","Pseudoernestia glandulosa","6","261.17","9.99","4.08","Pseudoernestia glandulosa","6","247.17","8.21","3.35","Pseudoernestia glandulosa","6","2768.67","807.6","329.7","Pseudoernestia glandulosa","6","420.33","97.86","39.95","Pseudoernestia glandulosa","6","87","26.03","10.63","Pseudoernestia glandulosa","6","48.5","16.57","6.76","Pseudoernestia glandulosa","6","1107.5","199.44","81.42","Pseudoernestia glandulosa","6","317.83","102.51","41.85","Pseudoernestia glandulosa","6","331.33","82.99","33.88","Pseudoernestia glandulosa","6","808.83","293.85","119.96","Pseudoernestia glandulosa","6","208.33","167.63","68.43"
"21","Miconia racemosa","30","256.5","15.79","2.88","Miconia racemosa","30","86.5","12.14","2.22","Miconia racemosa","30","79.33","2.26","0.41","Miconia racemosa","30","555.8","77.97","14.24","Miconia racemosa","30","314.13","15.03","2.74","Miconia racemosa","30","205.7","21.74","3.97","Miconia racemosa","30","108.43","14.9","2.72","Miconia racemosa","30","255.03","15.35","2.8","Miconia racemosa","30","258.43","18.27","3.34","Miconia racemosa","30","262.97","15.94","2.91","Miconia racemosa","30","249.03","16.48","3.01","Miconia racemosa","30","2085.1","658.74","120.27","Miconia racemosa","30","309.33","94.9","17.33","Miconia racemosa","30","66.9","30.85","5.63","Miconia racemosa","30","44.53","10.1","1.84","Miconia racemosa","30","815.6","237.44","43.35","Miconia racemosa","30","248.5","105.15","19.2","Miconia racemosa","30","364.23","143.75","26.25","Miconia racemosa","30","452.23","243.78","44.51","Miconia racemosa","30","195.1","270.89","49.46"
"22","Miconia ciliata","228","248.13","23.6","1.56","Miconia ciliata","228","96.86","17.85","1.18","Miconia ciliata","228","76.22","7.76","0.51","Miconia ciliata","228","756.16","427.22","28.29","Miconia ciliata","228","313.47","23.29","1.54","Miconia ciliata","228","186.13","33.9","2.25","Miconia ciliata","228","127.34","26.58","1.76","Miconia ciliata","228","247.23","21.35","1.41","Miconia ciliata","228","247.62","28.67","1.9","Miconia ciliata","228","256.56","22.9","1.52","Miconia ciliata","228","237.59","26.77","1.77","Miconia ciliata","228","2114.75","897.74","59.45","Miconia ciliata","228","323.21","119.42","7.91","Miconia ciliata","228","54.26","50.71","3.36","Miconia ciliata","228","53.77","17.63","1.17","Miconia ciliata","228","880.25","326.04","21.59","Miconia ciliata","228","200.2","167.26","11.08","Miconia ciliata","228","366.88","210.45","13.94","Miconia ciliata","228","558.63","411.2","27.23","Miconia ciliata","228","356.51","420.4","27.84"
"23","Siphanthera hostmannii","30","237.3","30.43","5.56","Siphanthera hostmannii","30","101.13","8.07","1.47","Siphanthera hostmannii","30","84.5","4.19","0.76","Siphanthera hostmannii","30","447.77","161.9","29.56","Siphanthera hostmannii","30","299.5","32.57","5.95","Siphanthera hostmannii","30","180.37","32.04","5.85","Siphanthera hostmannii","30","119.13","10.3","1.88","Siphanthera hostmannii","30","232.83","28.81","5.26","Siphanthera hostmannii","30","237.1","32.48","5.93","Siphanthera hostmannii","30","242.07","31.71","5.79","Siphanthera hostmannii","30","230.83","29.88","5.46","Siphanthera hostmannii","30","2538.83","676.63","123.54","Siphanthera hostmannii","30","375.27","85.59","15.63","Siphanthera hostmannii","30","82.9","55.25","10.09","Siphanthera hostmannii","30","48.23","17.54","3.2","Siphanthera hostmannii","30","1041.47","258.31","47.16","Siphanthera hostmannii","30","297.2","173.77","31.73","Siphanthera hostmannii","30","467.63","187.51","34.23","Siphanthera hostmannii","30","767.37","412.52","75.32","Siphanthera hostmannii","30","641.93","514.93","94.01"
"24","Antherotoma naudinii","65","195.94","27","3.35","Antherotoma naudinii","65","122.78","17.87","2.22","Antherotoma naudinii","65","66.43","7.34","0.91","Antherotoma naudinii","65","1770.98","841.82","104.41","Antherotoma naudinii","65","284.54","30.12","3.74","Antherotoma naudinii","65","98.12","40.53","5.03","Antherotoma naudinii","65","186.42","37.99","4.71","Antherotoma naudinii","65","204.78","25.59","3.17","Antherotoma naudinii","65","176.18","36.74","4.56","Antherotoma naudinii","65","214.42","25.93","3.22","Antherotoma naudinii","65","170.6","33.89","4.2","Antherotoma naudinii","65","1299.18","330.78","41.03","Antherotoma naudinii","65","266.28","70.19","8.71","Antherotoma naudinii","65","8.34","12.31","1.53","Antherotoma naudinii","65","88.63","17.85","2.21","Antherotoma naudinii","65","712.46","184.23","22.85","Antherotoma naudinii","65","34.66","47.16","5.85","Antherotoma naudinii","65","426.63","220.55","27.36","Antherotoma naudinii","65","208.72","332.7","41.27","Antherotoma naudinii","65","1381.32","489.5","60.72"
"25","Pternandra cogniauxii","25","255.08","10.52","2.1","Pternandra cogniauxii","25","77.8","7.63","1.53","Pternandra cogniauxii","25","89.64","1.5","0.3","Pternandra cogniauxii","25","279.84","75.02","15","Pternandra cogniauxii","25","300.24","13.11","2.62","Pternandra cogniauxii","25","213.88","10.4","2.08","Pternandra cogniauxii","25","86.36","8.93","1.79","Pternandra cogniauxii","25","253.48","10.05","2.01","Pternandra cogniauxii","25","254.84","11.12","2.22","Pternandra cogniauxii","25","257.72","10.6","2.12","Pternandra cogniauxii","25","250.88","9.95","1.99","Pternandra cogniauxii","25","3034.52","767.46","153.49","Pternandra cogniauxii","25","343.44","97.83","19.57","Pternandra cogniauxii","25","169.88","49.58","9.92","Pternandra cogniauxii","25","20.88","7.02","1.4","Pternandra cogniauxii","25","948.68","270.07","54.01","Pternandra cogniauxii","25","566.6","171.79","34.36","Pternandra cogniauxii","25","750.68","163.37","32.67","Pternandra cogniauxii","25","829.64","314.45","62.89","Pternandra cogniauxii","25","255.8","214.32","42.86"
"26","Pternandra coerulescens","59","261.25","14.89","1.94","Pternandra coerulescens","59","80.73","8.86","1.15","Pternandra coerulescens","59","81.51","9.27","1.21","Pternandra coerulescens","59","557.49","402.25","52.37","Pternandra coerulescens","59","313.2","17.58","2.29","Pternandra coerulescens","59","213.1","18.39","2.39","Pternandra coerulescens","59","100.1","18.57","2.42","Pternandra coerulescens","59","260.9","15.54","2.02","Pternandra coerulescens","59","258.71","15.92","2.07","Pternandra coerulescens","59","267.37","16.28","2.12","Pternandra coerulescens","59","253.24","15.32","1.99","Pternandra coerulescens","59","2626.54","662.68","86.27","Pternandra coerulescens","59","359.25","102.64","13.36","Pternandra coerulescens","59","111.31","64.23","8.36","Pternandra coerulescens","59","41.73","28.5","3.71","Pternandra coerulescens","59","985.85","259.62","33.8","Pternandra coerulescens","59","381.22","208.37","27.13","Pternandra coerulescens","59","607.78","174.48","22.72","Pternandra coerulescens","59","662.41","379.84","49.45","Pternandra coerulescens","59","149.08","262.32","34.15"
