"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","species.1","n_bio2","mean_bio2","sd_bio2","se_bio2","species.2","n_bio3","mean_bio3","sd_bio3","se_bio3","species.3","n_bio4","mean_bio4","sd_bio4","se_bio4","species.4","n_bio5","mean_bio5","sd_bio5","se_bio5","species.5","n_bio6","mean_bio6","sd_bio6","se_bio6","species.6","n_bio7","mean_bio7","sd_bio7","se_bio7","species.7","n_bio8","mean_bio8","sd_bio8","se_bio8","species.8","n_bio9","mean_bio9","sd_bio9","se_bio9","species.9","n_bio10","mean_bio10","sd_bio10","se_bio10","species.10","n_bio11","mean_bio11","sd_bio11","se_bio11","species.11","n_bio12","mean_bio12","sd_bio12","se_bio12","species.12","n_bio13","mean_bio13","sd_bio13","se_bio13","species.13","n_bio14","mean_bio14","sd_bio14","se_bio14","species.14","n_bio15","mean_bio15","sd_bio15","se_bio15","species.15","n_bio16","mean_bio16","sd_bio16","se_bio16","species.16","n_bio17","mean_bio17","sd_bio17","se_bio17","species.17","n_bio18","mean_bio18","sd_bio18","se_bio18","species.18","n_bio19","mean_bio19","sd_bio19","se_bio19"
"16","Potentilla griffithii","72","100.04","57.58","6.79","Potentilla griffithii","72","122.18","17.3","2.04","Potentilla griffithii","72","45.81","3.46","0.41","Potentilla griffithii","72","5105.83","871.46","102.7","Potentilla griffithii","72","212.24","43.16","5.09","Potentilla griffithii","72","-52.6","73.6","8.67","Potentilla griffithii","72","264.83","40.53","4.78","Potentilla griffithii","72","158.81","49.01","5.78","Potentilla griffithii","72","34.11","62.53","7.37","Potentilla griffithii","72","159.85","47.98","5.65","Potentilla griffithii","72","30.1","65.36","7.7","Potentilla griffithii","72","845.47","313.95","37","Potentilla griffithii","72","183.43","56.17","6.62","Potentilla griffithii","72","7.1","5.18","0.61","Potentilla griffithii","72","92.18","14.81","1.75","Potentilla griffithii","72","489.65","162.15","19.11","Potentilla griffithii","72","31.12","21.74","2.56","Potentilla griffithii","72","487.89","163.46","19.26","Potentilla griffithii","72","33.89","24.67","2.91"
"17","Photinia integrifolia","136","129.52","28.62","2.45","Photinia integrifolia","136","108.21","3.68","0.32","Photinia integrifolia","136","45.78","2.02","0.17","Photinia integrifolia","136","4616.78","266.2","22.83","Photinia integrifolia","136","224.24","26.48","2.27","Photinia integrifolia","136","-10.04","26.09","2.24","Photinia integrifolia","136","234.27","4.88","0.42","Photinia integrifolia","136","182.46","25.98","2.23","Photinia integrifolia","136","73.32","27.83","2.39","Photinia integrifolia","136","182.46","25.98","2.23","Photinia integrifolia","136","65.72","29.16","2.5","Photinia integrifolia","136","1328.44","203.18","17.42","Photinia integrifolia","136","275.15","40.82","3.5","Photinia integrifolia","136","11.99","2.65","0.23","Photinia integrifolia","136","81.62","3.62","0.31","Photinia integrifolia","136","744.46","119.42","10.24","Photinia integrifolia","136","52.23","12.7","1.09","Photinia integrifolia","136","744.46","119.42","10.24","Photinia integrifolia","136","59.48","12.3","1.05"
"18","Prunus mahaleb","571","105.09","24.26","1.02","Prunus mahaleb","571","90.91","17.05","0.71","Prunus mahaleb","571","34.07","5.3","0.22","Prunus mahaleb","571","6084.95","927.9","38.83","Prunus mahaleb","571","251.54","31.09","1.3","Prunus mahaleb","571","-11.54","30.18","1.26","Prunus mahaleb","571","263.08","31.73","1.33","Prunus mahaleb","571","106.67","49.92","2.09","Prunus mahaleb","571","120.85","83.8","3.51","Prunus mahaleb","571","184.72","24.08","1.01","Prunus mahaleb","571","29.9","31.46","1.32","Prunus mahaleb","571","717.41","190.3","7.96","Prunus mahaleb","571","87.96","22.94","0.96","Prunus mahaleb","571","32.96","16.08","0.67","Prunus mahaleb","571","28.76","12.49","0.52","Prunus mahaleb","571","241.43","65.06","2.72","Prunus mahaleb","571","117.99","49.66","2.08","Prunus mahaleb","571","152.83","71.73","3","Prunus mahaleb","571","189.83","75.74","3.17"
"19","Rubus odoratus","745","77.17","20.46","0.75","Rubus odoratus","745","107.75","18.54","0.68","Rubus odoratus","745","29.17","3.88","0.14","Rubus odoratus","745","8982.23","1198.58","43.91","Rubus odoratus","745","261.41","25.42","0.93","Rubus odoratus","745","-102.06","37.92","1.39","Rubus odoratus","745","363.46","47.7","1.75","Rubus odoratus","745","155.02","47.67","1.75","Rubus odoratus","745","-21.81","48.16","1.76","Rubus odoratus","745","189.37","19.21","0.7","Rubus odoratus","745","-42.41","32.25","1.18","Rubus odoratus","745","1008.48","202.84","7.43","Rubus odoratus","745","104.75","18.74","0.69","Rubus odoratus","745","62.72","17.06","0.63","Rubus odoratus","745","15.83","5.95","0.22","Rubus odoratus","745","296.89","52.62","1.93","Rubus odoratus","745","203.68","54.04","1.98","Rubus odoratus","745","285.35","49.85","1.83","Rubus odoratus","745","216.77","55.34","2.03"
"20","Rubus pirifolius","75","209.32","37.29","4.31","Rubus pirifolius","75","85.59","13.86","1.6","Rubus pirifolius","75","52.6","24.81","2.86","Rubus pirifolius","75","3681.4","2882.99","332.9","Rubus pirifolius","75","299.96","34.63","4","Rubus pirifolius","75","108.75","69.37","8.01","Rubus pirifolius","75","191.21","77.23","8.92","Rubus pirifolius","75","237.03","34.21","3.95","Rubus pirifolius","75","168.56","63.17","7.29","Rubus pirifolius","75","251.83","37.31","4.31","Rubus pirifolius","75","158.77","64.82","7.48","Rubus pirifolius","75","2057.15","676.83","78.15","Rubus pirifolius","75","325.37","105.69","12.2","Rubus pirifolius","75","62.33","45.88","5.3","Rubus pirifolius","75","56.55","21","2.42","Rubus pirifolius","75","882.37","280.51","32.39","Rubus pirifolius","75","213.41","150.08","17.33","Rubus pirifolius","75","730.75","293.03","33.84","Rubus pirifolius","75","298.17","264.11","30.5"
"21","Alchemilla abyssinica","22","99.09","35.08","7.48","Alchemilla abyssinica","22","124","7.04","1.5","Alchemilla abyssinica","22","78.64","2.9","0.62","Alchemilla abyssinica","22","725.23","196.95","41.99","Alchemilla abyssinica","22","177.91","38.04","8.11","Alchemilla abyssinica","22","20.95","29.81","6.36","Alchemilla abyssinica","22","156.95","12.61","2.69","Alchemilla abyssinica","22","95.23","35.83","7.64","Alchemilla abyssinica","22","94.86","30.82","6.57","Alchemilla abyssinica","22","108.64","36.51","7.78","Alchemilla abyssinica","22","90.91","33.4","7.12","Alchemilla abyssinica","22","1195.82","156.04","33.27","Alchemilla abyssinica","22","209.68","64.19","13.69","Alchemilla abyssinica","22","21.18","10.19","2.17","Alchemilla abyssinica","22","59","21.34","4.55","Alchemilla abyssinica","22","519.86","145.99","31.13","Alchemilla abyssinica","22","96.09","37.69","8.04","Alchemilla abyssinica","22","331.09","61.91","13.2","Alchemilla abyssinica","22","157.05","88.33","18.83"
"22","Acaena cylindristachya","92","93.91","23.32","2.43","Acaena cylindristachya","92","87.9","5.92","0.62","Acaena cylindristachya","92","77.29","2.42","0.25","Acaena cylindristachya","92","380.72","67.54","7.04","Acaena cylindristachya","92","149.93","25.44","2.65","Acaena cylindristachya","92","36.89","22.42","2.34","Acaena cylindristachya","92","113.04","7.24","0.75","Acaena cylindristachya","92","94.18","23.96","2.5","Acaena cylindristachya","92","92.93","23.42","2.44","Acaena cylindristachya","92","98.39","23.51","2.45","Acaena cylindristachya","92","88.93","23.45","2.44","Acaena cylindristachya","92","1291.71","393","40.97","Acaena cylindristachya","92","166.59","58.52","6.1","Acaena cylindristachya","92","37.05","17.75","1.85","Acaena cylindristachya","92","38.35","6.82","0.71","Acaena cylindristachya","92","445.5","156.31","16.3","Acaena cylindristachya","92","162.24","62.56","6.52","Acaena cylindristachya","92","367.07","103.11","10.75","Acaena cylindristachya","92","351.57","184.45","19.23"
"23","Acaena magellanica","126","49.96","12.41","1.11","Acaena magellanica","126","57.36","30.25","2.69","Acaena magellanica","126","48.06","2.46","0.22","Acaena magellanica","126","2238.45","1025.32","91.34","Acaena magellanica","126","113.63","41.04","3.66","Acaena magellanica","126","-3.17","21.61","1.93","Acaena magellanica","126","116.81","57.82","5.15","Acaena magellanica","126","56.98","16.74","1.49","Acaena magellanica","126","44.44","29.34","2.61","Acaena magellanica","126","78.84","21.96","1.96","Acaena magellanica","126","22.21","12.67","1.13","Acaena magellanica","126","957.34","500.57","44.59","Acaena magellanica","126","100.99","50.11","4.46","Acaena magellanica","126","63.31","35.61","3.17","Acaena magellanica","126","17.17","14.1","1.26","Acaena magellanica","126","287.63","144.92","12.91","Acaena magellanica","126","199.78","111.33","9.92","Acaena magellanica","126","249.02","129.47","11.53","Acaena magellanica","126","234.79","134.42","11.98"
"24","Argentina polyphylla","12","104.33","53.14","15.34","Argentina polyphylla","12","106.42","5.84","1.69","Argentina polyphylla","12","45","2.45","0.71","Argentina polyphylla","12","4690.83","362.67","104.69","Argentina polyphylla","12","202.75","48.4","13.97","Argentina polyphylla","12","-32.17","48.16","13.9","Argentina polyphylla","12","234.92","5.87","1.69","Argentina polyphylla","12","159","46.94","13.55","Argentina polyphylla","12","49.83","52.29","15.09","Argentina polyphylla","12","159","46.94","13.55","Argentina polyphylla","12","40.67","54.62","15.77","Argentina polyphylla","12","1137.25","289.29","83.51","Argentina polyphylla","12","237.58","52.15","15.05","Argentina polyphylla","12","10.58","3.2","0.92","Argentina polyphylla","12","80.42","5.87","1.69","Argentina polyphylla","12","629.5","156.19","45.09","Argentina polyphylla","12","47.42","15.75","4.55","Argentina polyphylla","12","629.5","156.19","45.09","Argentina polyphylla","12","52.42","20.78","6"
"25","Crataegus marshallii","159","176.58","17.72","1.41","Crataegus marshallii","159","129.03","8.54","0.68","Crataegus marshallii","159","40.05","3.33","0.26","Crataegus marshallii","159","6970.13","789.24","62.59","Crataegus marshallii","159","330.77","8.89","0.71","Crataegus marshallii","159","11.25","27.97","2.22","Crataegus marshallii","159","319.53","26.87","2.13","Crataegus marshallii","159","172.03","74.64","5.92","Crataegus marshallii","159","190.11","50.65","4.02","Crataegus marshallii","159","262.75","9.42","0.75","Crataegus marshallii","159","83.33","27.22","2.16","Crataegus marshallii","159","1334.23","140.93","11.18","Crataegus marshallii","159","154.33","21.05","1.67","Crataegus marshallii","159","72.55","11.12","0.88","Crataegus marshallii","159","20.93","7.41","0.59","Crataegus marshallii","159","413.74","57.65","4.57","Crataegus marshallii","159","256.27","35","2.78","Crataegus marshallii","159","347.48","82.41","6.54","Crataegus marshallii","159","341.4","68.3","5.42"
"26","Amelanchier ovalis","567","101.39","24.18","1.02","Amelanchier ovalis","567","99.24","13.77","0.58","Amelanchier ovalis","567","36.48","3.01","0.13","Amelanchier ovalis","567","5918.24","693.46","29.12","Amelanchier ovalis","567","253.57","33.15","1.39","Amelanchier ovalis","567","-15.11","28.38","1.19","Amelanchier ovalis","567","268.68","31.29","1.31","Amelanchier ovalis","567","90.73","45.57","1.91","Amelanchier ovalis","567","143.1","74.74","3.14","Amelanchier ovalis","567","179.51","25.6","1.08","Amelanchier ovalis","567","28.87","28.06","1.18","Amelanchier ovalis","567","787.92","227.49","9.55","Amelanchier ovalis","567","95.11","27.54","1.16","Amelanchier ovalis","567","35.2","17.32","0.73","Amelanchier ovalis","567","28.22","10.9","0.46","Amelanchier ovalis","567","260.34","81.84","3.44","Amelanchier ovalis","567","129.02","53.8","2.26","Amelanchier ovalis","567","160.78","90.4","3.8","Amelanchier ovalis","567","207.75","85.92","3.61"
"27","Photinia stenophylla","8","214.38","41.7","14.74","Photinia stenophylla","8","101.5","17.53","6.2","Photinia stenophylla","8","46.12","13.22","4.67","Photinia stenophylla","8","3731.12","2392.29","845.8","Photinia stenophylla","8","317.88","26.35","9.32","Photinia stenophylla","8","91.5","54.95","19.43","Photinia stenophylla","8","226.38","35.83","12.67","Photinia stenophylla","8","243.25","15.31","5.41","Photinia stenophylla","8","165.25","70.15","24.8","Photinia stenophylla","8","257","16.04","5.67","Photinia stenophylla","8","161.38","72.49","25.63","Photinia stenophylla","8","1251","175.72","62.13","Photinia stenophylla","8","240.12","22.84","8.08","Photinia stenophylla","8","15.38","16.43","5.81","Photinia stenophylla","8","70.5","7.82","2.76","Photinia stenophylla","8","593.12","80.49","28.46","Photinia stenophylla","8","67.62","51.22","18.11","Photinia stenophylla","8","462.38","135.35","47.85","Photinia stenophylla","8","69.88","54.22","19.17"
