"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","species.1","n_bio2","mean_bio2","sd_bio2","se_bio2","species.2","n_bio3","mean_bio3","sd_bio3","se_bio3","species.3","n_bio4","mean_bio4","sd_bio4","se_bio4","species.4","n_bio5","mean_bio5","sd_bio5","se_bio5","species.5","n_bio6","mean_bio6","sd_bio6","se_bio6","species.6","n_bio7","mean_bio7","sd_bio7","se_bio7","species.7","n_bio8","mean_bio8","sd_bio8","se_bio8","species.8","n_bio9","mean_bio9","sd_bio9","se_bio9","species.9","n_bio10","mean_bio10","sd_bio10","se_bio10","species.10","n_bio11","mean_bio11","sd_bio11","se_bio11","species.11","n_bio12","mean_bio12","sd_bio12","se_bio12","species.12","n_bio13","mean_bio13","sd_bio13","se_bio13","species.13","n_bio14","mean_bio14","sd_bio14","se_bio14","species.14","n_bio15","mean_bio15","sd_bio15","se_bio15","species.15","n_bio16","mean_bio16","sd_bio16","se_bio16","species.16","n_bio17","mean_bio17","sd_bio17","se_bio17","species.17","n_bio18","mean_bio18","sd_bio18","se_bio18","species.18","n_bio19","mean_bio19","sd_bio19","se_bio19","species.19","n_alt","mean_alt","sd_alt","se_alt"
"11","Empetrum nigrum","897","-10.66","60.04","2","Empetrum nigrum","897","87.11","20.6","0.69","Empetrum nigrum","897","24.22","5.54","0.18","Empetrum nigrum","897","9917.5","3493.27","116.64","Empetrum nigrum","897","179.71","39.19","1.31","Empetrum nigrum","897","-189.14","108.54","3.62","Empetrum nigrum","897","368.85","110.64","3.69","Empetrum nigrum","897","82.55","58.23","1.94","Empetrum nigrum","897","-77.07","113.58","3.79","Empetrum nigrum","897","115.89","35.16","1.17","Empetrum nigrum","897","-136.2","98.51","3.29","Empetrum nigrum","897","725.85","475.32","15.87","Empetrum nigrum","897","98.37","62.27","2.08","Empetrum nigrum","897","33.56","25.69","0.86","Empetrum nigrum","897","39.11","17.79","0.59","Empetrum nigrum","897","267.53","171.78","5.74","Empetrum nigrum","897","112.7","83.8","2.8","Empetrum nigrum","897","215.17","93.43","3.12","Empetrum nigrum","897","163.7","164.47","5.49","Empetrum nigrum","897","486.66","593.58","19.82"
"12","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Agapetes hosseana","not_enough_points","not_enough_points","not_enough_points","not_enough_points"
"13","Gaultheria leucocarpa","48","173.71","34.97","5.05","Gaultheria leucocarpa","48","88.02","13.41","1.94","Gaultheria leucocarpa","48","49.77","24.38","3.52","Gaultheria leucocarpa","48","4206.79","3063.13","442.12","Gaultheria leucocarpa","48","273.94","46.73","6.74","Gaultheria leucocarpa","48","64.46","61.29","8.85","Gaultheria leucocarpa","48","209.48","79.73","11.51","Gaultheria leucocarpa","48","211.77","39.39","5.69","Gaultheria leucocarpa","48","121.31","60.59","8.75","Gaultheria leucocarpa","48","223.31","46.1","6.65","Gaultheria leucocarpa","48","115.73","58.99","8.51","Gaultheria leucocarpa","48","1824.5","760.73","109.8","Gaultheria leucocarpa","48","306.46","152.13","21.96","Gaultheria leucocarpa","48","43.75","38.43","5.55","Gaultheria leucocarpa","48","62.48","21.44","3.09","Gaultheria leucocarpa","48","832.52","390.44","56.36","Gaultheria leucocarpa","48","154.33","128.55","18.55","Gaultheria leucocarpa","48","688.33","334.93","48.34","Gaultheria leucocarpa","48","193.27","188.81","27.25","Gaultheria leucocarpa","48","1099.04","787.2","113.62"
"14","Erica scoparia","74","128.58","24.63","2.86","Erica scoparia","74","95.27","16.12","1.87","Erica scoparia","74","37.07","3.24","0.38","Erica scoparia","74","5553.35","742.33","86.29","Erica scoparia","74","271.74","31.81","3.7","Erica scoparia","74","18.2","28.81","3.35","Erica scoparia","74","253.54","36.09","4.2","Erica scoparia","74","103.26","39.38","4.58","Erica scoparia","74","179.8","60.79","7.07","Erica scoparia","74","201.93","24.68","2.87","Erica scoparia","74","60.22","29.08","3.38","Erica scoparia","74","732.62","221.17","25.71","Erica scoparia","74","95.45","32.84","3.82","Erica scoparia","74","25.22","18.93","2.2","Erica scoparia","74","36.15","18.92","2.2","Erica scoparia","74","260.12","94.29","10.96","Erica scoparia","74","98.59","58.42","6.79","Erica scoparia","74","110.31","63.97","7.44","Erica scoparia","74","231.5","103.45","12.03","Erica scoparia","74","513.88","386.36","44.91"
"15","Vaccinium bracteatum","143","177.5","33.44","2.8","Vaccinium bracteatum","143","83.08","12.58","1.05","Vaccinium bracteatum","143","31.38","8.7","0.73","Vaccinium bracteatum","143","6628.36","1996.17","166.93","Vaccinium bracteatum","143","310.24","24.8","2.07","Vaccinium bracteatum","143","38.08","55.22","4.62","Vaccinium bracteatum","143","272.16","57.27","4.79","Vaccinium bracteatum","143","234.54","28.35","2.37","Vaccinium bracteatum","143","103.94","56.35","4.71","Vaccinium bracteatum","143","258.78","22.61","1.89","Vaccinium bracteatum","143","89.13","54.5","4.56","Vaccinium bracteatum","143","1619.4","501.77","41.96","Vaccinium bracteatum","143","274.95","98.13","8.21","Vaccinium bracteatum","143","41.97","26.82","2.24","Vaccinium bracteatum","143","59.49","16.04","1.34","Vaccinium bracteatum","143","730.71","252.9","21.15","Vaccinium bracteatum","143","147.27","85.45","7.15","Vaccinium bracteatum","143","630.31","231.16","19.33","Vaccinium bracteatum","143","166.86","94.18","7.88","Vaccinium bracteatum","143","377.99","459.96","38.46"
"16","Pyrola grandiflora","309","-69.94","45.79","2.6","Pyrola grandiflora","309","90.22","19.78","1.13","Pyrola grandiflora","309","20.85","4.87","0.28","Pyrola grandiflora","309","12229.74","2738.07","155.76","Pyrola grandiflora","309","152.83","40","2.28","Pyrola grandiflora","309","-279.87","74.87","4.26","Pyrola grandiflora","309","432.71","84.9","4.83","Pyrola grandiflora","309","74.23","40.79","2.32","Pyrola grandiflora","309","-161.74","94.11","5.35","Pyrola grandiflora","309","86.32","31.92","1.82","Pyrola grandiflora","309","-221.83","70.58","4.02","Pyrola grandiflora","309","398.46","290.68","16.54","Pyrola grandiflora","309","63.14","36.48","2.08","Pyrola grandiflora","309","15.86","15.45","0.88","Pyrola grandiflora","309","51.81","16.18","0.92","Pyrola grandiflora","309","164.73","97.09","5.52","Pyrola grandiflora","309","54.78","50.93","2.9","Pyrola grandiflora","309","147.06","68.07","3.87","Pyrola grandiflora","309","71.76","85.44","4.86","Pyrola grandiflora","309","477.08","570.01","32.43"
"17","Leucopogon virgatus","78","143.13","25.01","2.83","Leucopogon virgatus","78","111.69","21.48","2.43","Leucopogon virgatus","78","48.32","2.32","0.26","Leucopogon virgatus","78","4144.35","955.99","108.24","Leucopogon virgatus","78","264.67","34.92","3.95","Leucopogon virgatus","78","35.37","26.58","3.01","Leucopogon virgatus","78","229.29","46.27","5.24","Leucopogon virgatus","78","136.1","62.79","7.11","Leucopogon virgatus","78","155.45","39.15","4.43","Leucopogon virgatus","78","195.4","29.07","3.29","Leucopogon virgatus","78","89.18","25","2.83","Leucopogon virgatus","78","893.21","309.34","35.03","Leucopogon virgatus","78","109.37","42.59","4.82","Leucopogon virgatus","78","42.18","14.54","1.65","Leucopogon virgatus","78","27.23","10.02","1.13","Leucopogon virgatus","78","300.37","118.39","13.41","Leucopogon virgatus","78","147.29","48.32","5.47","Leucopogon virgatus","78","204.14","119.72","13.56","Leucopogon virgatus","78","242.62","98.38","11.14","Leucopogon virgatus","78","308.71","288.01","32.61"
"18","Leucopogon ruscifolius","17","249.76","15.97","3.87","Leucopogon ruscifolius","17","92.35","20.87","5.06","Leucopogon ruscifolius","17","60.65","3.72","0.9","Leucopogon ruscifolius","17","1963","614.93","149.14","Leucopogon ruscifolius","17","322.35","16.55","4.01","Leucopogon ruscifolius","17","170","32.71","7.93","Leucopogon ruscifolius","17","152.35","37.52","9.1","Leucopogon ruscifolius","17","266.12","11.93","2.89","Leucopogon ruscifolius","17","231.29","20.75","5.03","Leucopogon ruscifolius","17","271.35","12.4","3.01","Leucopogon ruscifolius","17","221.35","22.41","5.44","Leucopogon ruscifolius","17","1604.29","355.48","86.22","Leucopogon ruscifolius","17","366.41","65.24","15.82","Leucopogon ruscifolius","17","13","11.01","2.67","Leucopogon ruscifolius","17","100.59","10.42","2.53","Leucopogon ruscifolius","17","1019","196.6","47.68","Leucopogon ruscifolius","17","43.18","33.54","8.13","Leucopogon ruscifolius","17","691.88","196.9","47.76","Leucopogon ruscifolius","17","64.65","44.94","10.9","Leucopogon ruscifolius","17","205.59","232.65","56.43"
"19","Vaccinium consanguineum","3","155","13.86","8","Vaccinium consanguineum","3","91","1","0.58","Vaccinium consanguineum","3","79.33","2.08","1.2","Vaccinium consanguineum","3","506.67","67","38.68","Vaccinium consanguineum","3","212","14.73","8.5","Vaccinium consanguineum","3","97.67","12.5","7.22","Vaccinium consanguineum","3","114.33","3.06","1.77","Vaccinium consanguineum","3","155","13","7.51","Vaccinium consanguineum","3","152","17.32","10","Vaccinium consanguineum","3","160.33","13.58","7.84","Vaccinium consanguineum","3","147.33","14.43","8.33","Vaccinium consanguineum","3","3356","1049.87","606.14","Vaccinium consanguineum","3","512","147.09","84.92","Vaccinium consanguineum","3","80","40.71","23.5","Vaccinium consanguineum","3","52","6.93","4","Vaccinium consanguineum","3","1327.33","405.58","234.16","Vaccinium consanguineum","3","266.67","122.15","70.52","Vaccinium consanguineum","3","976.67","339.04","195.74","Vaccinium consanguineum","3","451.33","274.61","158.55","Vaccinium consanguineum","3","1981","205.63","118.72"
"20","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Diplycosia cinnamomifolia","not_enough_points","not_enough_points","not_enough_points","not_enough_points"
"21","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Styphelia laeta","not_enough_points","not_enough_points","not_enough_points","not_enough_points"
"22","Macleania insignis","22","207.59","24.33","5.19","Macleania insignis","22","111.64","14.77","3.15","Macleania insignis","22","68.14","5.17","1.1","Macleania insignis","22","1411.36","480.83","102.51","Macleania insignis","22","290.05","22.71","4.84","Macleania insignis","22","126.5","33.59","7.16","Macleania insignis","22","163.55","25.44","5.42","Macleania insignis","22","214.41","22.7","4.84","Macleania insignis","22","203.5","28.21","6.01","Macleania insignis","22","223.5","23.14","4.93","Macleania insignis","22","187.77","28.18","6.01","Macleania insignis","22","2121.18","641.5","136.77","Macleania insignis","22","351.23","84.51","18.02","Macleania insignis","22","43.41","39.03","8.32","Macleania insignis","22","66.5","16.08","3.43","Macleania insignis","22","955","231.41","49.34","Macleania insignis","22","155.45","129.91","27.7","Macleania insignis","22","478.91","127.34","27.15","Macleania insignis","22","285.73","238.5","50.85","Macleania insignis","22","1053.64","446.43","95.18"
"23","Satyria warszewiczii","46","207.26","39.52","5.83","Satyria warszewiczii","46","95.83","13.49","1.99","Satyria warszewiczii","46","78.74","8.53","1.26","Satyria warszewiczii","46","664.5","432.08","63.71","Satyria warszewiczii","46","270.35","42.44","6.26","Satyria warszewiczii","46","147.76","40.36","5.95","Satyria warszewiczii","46","122.59","23.09","3.4","Satyria warszewiczii","46","207.02","39.78","5.87","Satyria warszewiczii","46","206.43","40.41","5.96","Satyria warszewiczii","46","215.09","40.85","6.02","Satyria warszewiczii","46","198.02","38.79","5.72","Satyria warszewiczii","46","2825.72","1438.5","212.1","Satyria warszewiczii","46","398.74","162.72","23.99","Satyria warszewiczii","46","79.54","86.44","12.74","Satyria warszewiczii","46","49.22","15.97","2.35","Satyria warszewiczii","46","1060.87","460.46","67.89","Satyria warszewiczii","46","283.17","280.52","41.36","Satyria warszewiczii","46","583.5","330.92","48.79","Satyria warszewiczii","46","642.72","501.05","73.88","Satyria warszewiczii","46","1188.41","785.12","115.76"
