"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"22","Solanum triflorum","342","10.663158","4.254808","0.230074","0.043868","Solanum triflorum","342","454.818713","246.760636","13.343287","970.115473","Solanum triflorum","337","1566.893175","386.419493","21.049611","293.2711","Solanum triflorum","337","3415.566766","2481.311568","135.165654","49962.574364"
"23","Solanum ternatum","37","16.697297","3.929764","0.646049","0.405479","Solanum ternatum","37","1877.324324","1076.866211","177.035715","8967.013294","Solanum ternatum","37","1259.162162","113.766455","18.70309","2671.14488","Solanum ternatum","37","13174.108108","7101.128321","1167.418305","455064.528665"
"24","Solanum chrysotrichum","55","18.034545","3.438681","0.463672","0.272776","Solanum chrysotrichum","55","1695.272727","872.425789","117.637869","6032.354398","Solanum chrysotrichum","55","1648.127273","166.524279","22.454129","1796.95201","Solanum chrysotrichum","55","9586.236364","4885.861931","658.809488","306134.319284"
"25","Solanum lasiocarpum","59","24.291525","3.006733","0.391443","0.254283","Solanum lasiocarpum","59","2389.271186","989.319652","128.798448","5623.381218","Solanum lasiocarpum","57","1579.789474","184.848175","24.483739","1733.901062","Solanum lasiocarpum","57","15300.964912","5430.393093","719.273136","295392.764221"
"26","Cestrum glanduliferum","39","22.225641","3.970001","0.635709","0.384685","Cestrum glanduliferum","39","2013.230769","938.186618","150.230091","8507.166458","Cestrum glanduliferum","39","1656.564103","220.55275","35.316705","2534.163091","Cestrum glanduliferum","39","12664.692308","5494.064578","879.754418","431727.886169"
"27","Solanum abutiloides","24","16.145833","3.011713","0.614763","0.625113","Solanum abutiloides","24","772.208333","244.074468","49.821492","13824.145495","Solanum abutiloides","24","1705.625","97.087953","19.817995","4118.015023","Solanum abutiloides","24","4291.458333","1195.809312","244.093554","701557.815025"
"28","Solanum campylacanthum","159","21.498113","3.090235","0.245072","0.094357","Solanum campylacanthum","159","939.704403","378.06291","29.982339","2086.663471","Solanum campylacanthum","159","1863.666667","322.791908","25.599063","621.587173","Solanum campylacanthum","159","5210.100629","2645.627757","209.811929","105895.519249"
"29","Solanum cyaneopurpureum","13","21.507692","2.399118","0.665396","1.154054","Solanum cyaneopurpureum","13","1082","338.305335","93.829018","25521.499375","Solanum cyaneopurpureum","13","1617","212.615459","58.968918","7602.489274","Solanum cyaneopurpureum","13","5930","2368.284963","656.844067","1295183.658508"
"30","Lycium bosciifolium","24","19.4875","1.606864","0.328","0.625113","Lycium bosciifolium","24","196.041667","108.321775","22.11109","13824.145495","Lycium bosciifolium","24","2490.875","181.419359","37.032072","4118.015023","Lycium bosciifolium","24","819.666667","419.181362","85.565037","701557.815025"
"31","Solanum lucani","47","27.351064","0.872994","0.127339","0.319207","Solanum lucani","47","857.808511","378.956384","55.27647","7059.138125","Solanum lucani","46","2646.195652","239.618458","35.329814","2148.529577","Solanum lucani","46","3406.804348","1663.713913","245.301234","366030.164361"
"32","Solanum nigrum","1586","15.60145","6.270681","0.157457","0.009459","Solanum nigrum","1586","902.432535","610.965901","15.341414","209.192618","Solanum nigrum","1546","1516.390039","588.28048","14.961657","63.927788","Solanum nigrum","1547","7250.620556","5366.265953","136.43539","10883.89629"
"33","Solanum aculeastrum","51","19.484314","3.516667","0.492432","0.294171","Solanum aculeastrum","51","1277.529412","367.794527","51.501535","6505.480233","Solanum aculeastrum","51","1506.980392","206.941198","28.977564","1937.889423","Solanum aculeastrum","51","8409.254902","2421.935497","339.138804","330144.85413"
"34","Solanum villosum","154","13.851948","5.955359","0.479897","0.09742","Solanum villosum","154","597.149351","366.930543","29.568106","2154.412285","Solanum villosum","150","1444.96","552.141236","45.082143","658.882404","Solanum villosum","150","4904.666667","3362.459869","274.543699","112249.250404"
"35","Solanum elaeagnifolium","429","17.486713","4.021175","0.194144","0.034971","Solanum elaeagnifolium","429","596.524476","368.513885","17.792018","773.378769","Solanum elaeagnifolium","425","1930.395294","330.830065","16.047615","232.546731","Solanum elaeagnifolium","425","3383.004706","2540.681127","123.241137","39617.382496"
"36","Solanum sendtnerianum","14","25.728571","0.754911","0.201758","1.071622","Solanum sendtnerianum","14","2377.142857","306.443082","81.900359","23698.535134","Solanum sendtnerianum","14","1396.571429","87.78007","23.460211","7059.454325","Solanum sendtnerianum","14","17167.142857","1333.290946","356.336994","1202670.540044"
"37","Solanum fiebrigii","17","14.135294","4.586794","1.112461","0.882512","Solanum fiebrigii","17","826.764706","240.075386","58.226834","19516.440699","Solanum fiebrigii","17","1663.941176","143.205914","34.732536","5813.668268","Solanum fiebrigii","17","4121","1827.735142","443.290885","990434.562389"
"38","Solanum arundo","7","22.414286","2.817463","1.064901","2.143244","Solanum arundo","7","712.857143","239.758509","90.620199","47397.070268","Solanum arundo","7","1861.142857","238.797284","90.25689","14118.908651","Solanum arundo","7","3210.714286","1177.176667","444.930959","2405341.080087"
"39","Solanum crinitum","209","24.814833","2.264042","0.156607","0.071783","Solanum crinitum","209","1868.143541","724.550815","50.118228","1587.461684","Solanum crinitum","208","1505.129808","145.771569","10.10744","475.15558","Solanum crinitum","208","12382.793269","4856.110569","336.710686","80948.978657"
"40","Duboisia myoporoides","31","18.445161","2.703928","0.48564","0.483958","Duboisia myoporoides","31","1143.419355","340.126229","61.088474","10702.564254","Duboisia myoporoides","31","1691.709677","203.929595","36.626837","3188.140663","Duboisia myoporoides","31","7083.709677","2122.947372","381.292604","543141.534213"
"41","Solanum aviculare","62","16.451613","3.220363","0.408987","0.241979","Solanum aviculare","62","988.258065","430.954866","54.731323","5351.282127","Solanum aviculare","60","1641.016667","290.434128","37.494885","1647.206009","Solanum aviculare","60","6518.916667","3296.802633","425.61539","280623.12601"
"42","Solanum ochrophyllum","7","11.557143","3.78059","1.428929","2.143244","Solanum ochrophyllum","7","1598.571429","932.653536","352.509902","47397.070268","Solanum ochrophyllum","7","1328.142857","110.40747","41.730101","14118.908651","Solanum ochrophyllum","7","8724.285714","5078.769133","1919.594299","2405341.080087"
"43","Solanum incanum","129","23.215504","3.865198","0.340312","0.1163","Solanum incanum","129","698.193798","608.147174","53.544373","2571.934046","Solanum incanum","128","2164.335938","532.802002","47.093489","772.127817","Solanum incanum","128","3714.570312","3959.180399","349.945414","131542.090317"
"44","Solanum schlechtendalianum","241","23.667635","2.825426","0.182002","0.062252","Solanum schlechtendalianum","241","2185.211618","834.092856","53.728644","1376.67839","Solanum schlechtendalianum","239","1525.878661","200.047573","12.940002","413.524521","Solanum schlechtendalianum","239","14543.941423","5756.951898","372.386262","70449.320337"
"45","Solanum vescum","57","14.801754","2.549054","0.33763","0.263205","Solanum vescum","57","947.859649","345.790163","45.801026","5820.69284","Solanum vescum","48","1478.666667","278.738521","40.23244","2059.007512","Solanum vescum","48","6946.8125","3389.665983","489.256142","350778.907513"
"46","Solanum subinerme","186","24.960215","2.344477","0.171905","0.08066","Solanum subinerme","186","2217.365591","717.142231","52.58342","1783.760709","Solanum subinerme","186","1510.55914","185.175999","13.577763","531.356777","Solanum subinerme","186","14671.043011","5023.964178","368.374926","90523.589036"
"47","Solanum lepidotum","59","22.313559","3.34352","0.435289","0.254283","Solanum lepidotum","59","2621.389831","1114.90414","145.148156","5623.381218","Solanum lepidotum","59","1345.423729","175.336642","22.826886","1675.124755","Solanum lepidotum","59","19814.338983","8411.786681","1095.121347","285379.45018"
"48","Solanum arboreum","49","22.808163","4.880609","0.69723","0.306178","Solanum arboreum","49","2574.265306","1351.405114","193.057873","6771.010038","Solanum arboreum","47","1537.531915","147.983673","21.585637","2102.816182","Solanum arboreum","47","16604","8456.695454","1233.53581","358242.288524"
"49","Solanum dasyphyllum","80","23.37","3.448221","0.385523","0.187534","Solanum dasyphyllum","80","1400.8375","530.08916","59.26577","4147.243648","Solanum dasyphyllum","77","1678.246753","364.607834","41.550919","1283.53715","Solanum dasyphyllum","77","9134.12987","5337.423635","608.255874","218667.370917"
"50","Lycium ferocissimum","105","16.871429","2.120809","0.20697","0.142883","Lycium ferocissimum","105","481.342857","221.536801","21.619778","3159.804685","Lycium ferocissimum","103","1931.990291","374.994235","36.94928","959.537481","Lycium ferocissimum","103","2801.15534","1666.908397","164.245365","163469.782142"
"51","Capsicum baccatum","112","22.219643","3.211602","0.303468","0.133953","Capsicum baccatum","112","1194.705357","620.759222","58.656233","2962.316892","Capsicum baccatum","110","1656.7","301.432347","28.740447","898.476005","Capsicum baccatum","110","7967.736364","4793.300879","457.023307","153067.159642"
"52","Solanum rugosum","169","24.630178","1.910491","0.146961","0.088773","Solanum rugosum","169","2382.254438","816.738833","62.826064","1963.19226","Solanum rugosum","169","1499.621302","174.548973","13.426844","584.806867","Solanum rugosum","169","15679.35503","5622.282884","432.483299","99629.512193"
"53","Solanum crotonoides","1","26.5",NA,NA,"15.002707","Solanum crotonoides","1","759",NA,NA,"331779.491877","Solanum crotonoides","1","1898",NA,NA,"98832.360556","Solanum crotonoides","1","3924",NA,NA,"16837387.56061"
"54","Solanum aculeatissimum","196","19.421429","4.079913","0.291422","0.076544","Solanum aculeatissimum","196","1426.734694","619.869681","44.276406","1692.75251","Solanum aculeatissimum","195","1463","251.563912","18.014866","506.832618","Solanum aculeatissimum","195","10363.030769","4867.86421","348.594997","86345.577234"
"55","Solanum ellipticum","239","21.457322","2.465207","0.159461","0.062773","Solanum ellipticum","239","400.506276","244.827685","15.836586","1388.198711","Solanum ellipticum","239","2579.171548","416.356535","26.931865","413.524521","Solanum ellipticum","239","1715.828452","1317.083485","85.195048","70449.320337"
"56","Lycianthes lycioides","54","13.175926","5.523464","0.751648","0.277828","Lycianthes lycioides","54","770.851852","543.856856","74.009544","6144.064664","Lycianthes lycioides","54","1499.648148","267.728612","36.433249","1830.228899","Lycianthes lycioides","54","5681.407407","4861.705239","661.594284","311803.473345"
"57","Solanum angustifolium","363","14.893664","5.184725","0.272127","0.04133","Solanum angustifolium","363","634.942149","309.035506","16.220158","913.993091","Solanum angustifolium","363","1773.553719","397.916902","20.885221","272.265456","Solanum angustifolium","363","4062.421488","2416.008155","126.807542","46383.98777"
"58","Lycium horridum","34","17.385294","2.627838","0.45067","0.441256","Lycium horridum","34","337.382353","188.216995","32.278948","9758.220349","Lycium horridum","35","2107.514286","336.816355","56.932355","2823.78173","Lycium horridum","35","1838.542857","1104.608723","186.712952","481068.216017"
"59","Solanum coactiliferum","126","20.356349","2.489128","0.221749","0.119069","Solanum coactiliferum","126","281.031746","83.408866","7.430652","2633.17057","Solanum coactiliferum","126","2666.730159","414.358133","36.913956","784.383814","Solanum coactiliferum","126","1126.039683","504.312655","44.927742","133630.060005"
"60","Solanum stelligerum","41","18.558537","2.784329","0.434839","0.36592","Solanum stelligerum","41","996.560976","277.4336","43.327849","8092.182729","Solanum stelligerum","41","1727.04878","203.80652","31.829231","2410.545379","Solanum stelligerum","41","6032.682927","1946.719246","304.026468","410667.989283"
"61","Solandra grandiflora","42","20.133333","4.378866","0.675674","0.357207","Solandra grandiflora","42","1733.333333","602.495933","92.967141","7899.511711","Solandra grandiflora","41","1526.439024","224.478178","35.057602","2410.545379","Solandra grandiflora","41","11285.707317","4542.725411","709.454517","410667.989283"
"62","Solanum nitidum","32","7.721875","4.583613","0.810276","0.468835","Solanum nitidum","32","721.46875","626.497483","110.750155","10368.109121","Solanum nitidum","32","1372.6875","254.708618","45.026548","3088.511267","Solanum nitidum","32","6211.75","3705.386741","655.026023","526168.361269"
"63","Dunalia solanacea","20","14.69","4.641109","1.037784","0.750135","Dunalia solanacea","20","2225.5","1064.773438","238.090579","16588.974594","Dunalia solanacea","20","1202.6","137.643858","30.778102","4941.618028","Dunalia solanacea","20","16908.5","6765.48333","1512.808063","841869.37803"
"64","Nicotiana rustica","146","11.380822","5.839442","0.483276","0.102758","Nicotiana rustica","146","780.123288","391.123984","32.369651","2272.462273","Nicotiana rustica","144","1204.111111","454.496219","37.874685","686.335837","Nicotiana rustica","144","7336.125","3141.900854","261.825071","116926.302504"
"65","Nicotiana otophora","13","17.553846","4.595943","1.274685","1.154054","Nicotiana otophora","13","817.923077","224.583489","62.288253","25521.499375","Nicotiana otophora","13","1700.769231","54.077343","14.998356","7602.489274","Nicotiana otophora","13","4519","1375.113207","381.387783","1295183.658508"
"66","Solanum vestissimum","23","17.778261","4.25921","0.888107","0.652292","Solanum vestissimum","23","1797.956522","626.029006","130.536071","14425.195299","Solanum vestissimum","23","1392.826087","167.294148","34.883241","4297.059155","Solanum vestissimum","23","11812.73913","5004.169727","1043.441518","732060.328722"
"67","Lycium europaeum","53","15.850943","2.420714","0.332511","0.28307","Lycium europaeum","53","486.811321","134.380352","18.458561","6259.990413","Lycium europaeum","48","1563.208333","221.691271","31.998379","2059.007512","Lycium europaeum","48","3176.479167","1148.968788","165.83936","350778.907513"
"68","Solanum lycocarpum","98","23.07449","2.031977","0.205261","0.153089","Solanum lycocarpum","98","1335.581633","314.732383","31.792772","3385.505019","Solanum lycocarpum","98","1523.255102","133.991946","13.535231","1008.493475","Solanum lycocarpum","98","9013.367347","1934.03408","195.366945","171810.077149"
"69","Streptosolen jamesonii","24","15.8875","3.02487","0.617449","0.625113","Streptosolen jamesonii","24","1416.833333","659.548968","134.629869","13824.145495","Streptosolen jamesonii","24","1305.083333","158.179017","32.288157","4118.015023","Streptosolen jamesonii","24","11543.25","4523.032219","923.260086","701557.815025"
"70","Solanum myoxotrichum","10","18.52","2.213996","0.700127","1.500271","Solanum myoxotrichum","10","1935.3","597.061703","188.807489","33177.949188","Solanum myoxotrichum","10","1562.6","217.976655","68.930271","9883.236056","Solanum myoxotrichum","10","9895.7","3642.258489","1151.783265","1683738.756061"
"71","Solanum bonariense","58","17.431034","3.088019","0.405477","0.258667","Solanum bonariense","58","928.775862","505.816312","66.416936","5720.336067","Solanum bonariense","51","1498.078431","241.559917","33.825154","1937.889423","Solanum bonariense","51","6576.058824","3825.078788","535.618165","330144.85413"
"72","Solanum glabratum","16","22.58125","4.386376","1.096594","0.937669","Solanum glabratum","16","357.6875","312.240446","78.060112","20736.218242","Solanum glabratum","16","2472.875","311.803972","77.950993","6177.022535","Solanum glabratum","16","1534.6875","1150.637952","287.659488","1052336.722538"
"73","Lycium australe","100","18.146","1.50859","0.150859","0.150027","Lycium australe","100","281.15","89.874478","8.987448","3317.794919","Lycium australe","98","2309.05102","315.150901","31.835048","1008.493475","Lycium australe","98","1267.714286","519.355985","52.462877","171810.077149"
"74","Solanum cerasiferum","30","26.85","1.652323","0.301672","0.50009","Solanum cerasiferum","30","749.433333","346.099217","63.188783","11059.316396","Solanum cerasiferum","30","2435.233333","360.193213","65.761983","3294.412019","Solanum cerasiferum","30","3251.2","1708.703045","311.965067","561246.25202"
"75","Solanum chacoense","81","18.165432","3.780118","0.420013","0.185219","Solanum chacoense","81","1050.493827","475.398757","52.822084","4096.04311","Solanum chacoense","81","1659.037037","236.004208","26.22269","1220.152599","Solanum chacoense","81","6543.777778","4151.643229","461.293692","207868.98223"
"76","Solanum paludosum","66","25.498485","1.594847","0.196312","0.227314","Solanum paludosum","66","1688.242424","636.051354","78.29251","5026.961998","Solanum paludosum","66","1602.575758","132.204278","16.273222","1497.460008","Solanum paludosum","66","10548.454545","3965.901349","488.16871","255111.932737"
"77","Solanum goetzei","26","22.65","2.609253","0.511717","0.577027","Solanum goetzei","26","1020.423077","188.781815","37.02316","12760.749688","Solanum goetzei","26","1671.461538","171.159395","33.567119","3801.244637","Solanum goetzei","26","6225.192308","1700.054117","333.408043","647591.829254"
"78","Solanum asperum","160","25.05625","1.659571","0.131201","0.093767","Solanum asperum","160","1695.91875","685.562698","54.19849","2073.621824","Solanum asperum","158","1576.031646","130.343174","10.369546","625.521269","Solanum asperum","158","10586.158228","4100.626897","326.22836","106565.744054"
"79","Solanum proteanthum","29","24.868966","1.139268","0.211557","0.517335","Solanum proteanthum","29","1805.517241","471.261045","87.510979","11440.672134","Solanum proteanthum","29","1430.103448","187.207743","34.763605","3408.012433","Solanum proteanthum","29","13097.931034","5079.434248","943.22726","580599.571056"
"80","Juanulloa mexicana","41","23.253659","2.983127","0.465886","0.36592","Juanulloa mexicana","41","2146.658537","1000.228189","156.209399","8092.182729","Juanulloa mexicana","41","1698.268293","163.420015","25.521919","2410.545379","Juanulloa mexicana","41","12945.439024","6560.671277","1024.604714","410667.989283"
"81","Solanum hirtum","115","24.368696","2.985796","0.278427","0.130458","Solanum hirtum","115","1587.078261","738.292068","68.84609","2885.03906","Solanum hirtum","113","1741.663717","197.007007","18.53286","874.62266","Solanum hirtum","113","9516.132743","4550.613896","428.085746","149003.42974"
"82","Solanum volubile","37","25.502703","1.991717","0.327436","0.405479","Solanum volubile","37","2252.918919","595.986035","97.979501","8967.013294","Solanum volubile","37","1751","164.037428","26.967587","2671.14488","Solanum volubile","37","13252.459459","4540.53478","746.45932","455064.528665"
"83","Solanum physalifolium","101","9.957426","3.308152","0.329173","0.148542","Solanum physalifolium","101","707.821782","381.134291","37.924279","3284.945464","Solanum physalifolium","100","1154.33","421.34314","42.134314","988.323606","Solanum physalifolium","100","7335.62","4569.888244","456.988824","168373.875606"
"84","Solanum asperolanatum","59","15.911864","4.564899","0.594299","0.254283","Solanum asperolanatum","59","1665.135593","916.03355","119.25741","5623.381218","Solanum asperolanatum","59","1303.847458","174.258707","22.686551","1675.124755","Solanum asperolanatum","59","12119.101695","6205.908138","807.940422","285379.45018"
"85","Solanum aligerum","75","14.977333","5.427945","0.626765","0.200036","Solanum aligerum","75","1456.866667","824.47199","95.201825","4423.726558","Solanum aligerum","75","1584.146667","213.195932","24.617746","1317.764807","Solanum aligerum","75","8223.173333","4609.369012","532.244088","224498.500808"
"86","Solanum paniculatum","208","23.691346","2.270164","0.157408","0.072128","Solanum paniculatum","208","1287.615385","420.69815","29.170168","1595.093711","Solanum paniculatum","208","1561.370192","172.79088","11.980892","475.15558","Solanum paniculatum","208","8440.100962","3296.906217","228.599316","80948.978657"
"87","Solanum appendiculatum","43","18.160465","3.932716","0.599734","0.3489","Solanum appendiculatum","43","1618.534884","805.586044","122.85072","7715.802137","Solanum appendiculatum","43","1673.302326","168.653425","25.719406","2298.42699","Solanum appendiculatum","43","8562.372093","3887.748706","592.876119","391567.152572"
"88","Witheringia solanacea","158","22.456962","3.371941","0.268257","0.094954","Witheringia solanacea","158","2482.759494","1267.286581","100.819907","2099.870202","Witheringia solanacea","158","1481.683544","222.62233","17.710882","625.521269","Witheringia solanacea","158","16558.993671","7776.63466","618.675835","106565.744054"
"89","Solanum diversifolium","118","22.965254","3.819303","0.351595","0.127142","Solanum diversifolium","118","1916.881356","1081.848838","99.592258","2811.690609","Solanum diversifolium","117","1637.08547","218.349868","20.186452","844.72103","Solanum diversifolium","117","11921.162393","6412.51361","592.837093","143909.29539"
"90","Solanum palinacanthum","163","22.242331","3.485701","0.273021","0.092041","Solanum palinacanthum","163","1253.779141","372.352233","29.164878","2035.457005","Solanum palinacanthum","163","1591.932515","187.937116","14.720371","606.3335","Solanum palinacanthum","163","8097.858896","3176.763212","248.823298","103296.8562"
"91","Petunia scheideana","11","18.336364","1.914823","0.577341","1.363882","Petunia scheideana","11","1823.636364","337.021445","101.615789","30161.771989","Petunia scheideana","11","1283","112.305832","33.861482","8984.760051","Petunia scheideana","11","12964.363636","1049.550787","316.451469","1530671.596419"
"92","Nectouxia formosa","9","13.444444","1.501758","0.500586","1.666967","Nectouxia formosa","9","967.666667","154.89674","51.632247","36864.387986","Nectouxia formosa","9","1678.222222","134.275629","44.758543","10981.373395","Nectouxia formosa","9","5638.888889","844.732124","281.577375","1870820.840068"
"93","Solanum splendens","84","23.159524","3.003577","0.327717","0.178604","Solanum splendens","84","2656.511905","1202.79924","131.236156","3949.755856","Solanum splendens","84","1415.797619","229.571722","25.048328","1176.575721","Solanum splendens","84","18852.02381","8407.023203","917.281433","200445.090007"
"94","Anisodus tanguticus","35","4.022857","4.030041","0.681201","0.428649","Anisodus tanguticus","35","439.571429","175.526483","29.669391","9479.414054","Anisodus tanguticus","35","1078.142857","180.675879","30.539798","2823.78173","Anisodus tanguticus","35","6051.571429","2080.779878","351.715993","481068.216017"
"95","Solanum habrochaites","26","17.246154","5.880764","1.153313","0.577027","Solanum habrochaites","26","510.769231","361.706877","70.936555","12760.749688","Solanum habrochaites","26","1359.346154","202.011275","39.617671","3801.244637","Solanum habrochaites","26","3710.961538","3020.324002","592.33427","647591.829254"
"96","Solanum anceps","88","22.184091","3.481507","0.37113","0.170485","Solanum anceps","88","2318.272727","1258.753102","134.183532","3770.221499","Solanum anceps","88","1313.079545","119.823359","12.773213","1123.095006","Solanum anceps","88","17899.477273","8361.084924","891.294648","191333.949552"
"97","Solanum andreanum","6","12.45","4.339931","1.771769","2.500451","Solanum andreanum","6","1484.333333","579.453075","236.560727","55296.581979","Solanum andreanum","6","1035.666667","121.297431","49.519469","16472.060093","Solanum andreanum","6","14563.833333","5493.225042","2242.599733","2806231.260102"
"98","Solanum aturense","73","21.920548","3.786194","0.44314","0.205517","Solanum aturense","73","2825.260274","1296.416868","151.734117","4544.924546","Solanum aturense","72","1430.722222","199.494235","23.510621","1372.671674","Solanum aturense","72","18902.847222","9208.955862","1085.285856","233852.605008"
"99","Solanum acerifolium","78","18.784615","3.571172","0.404356","0.192342","Solanum acerifolium","78","1874.487179","748.500366","84.750977","4253.583229","Solanum acerifolium","78","1459.179487","183.033085","20.724416","1267.081546","Solanum acerifolium","78","12354.166667","5026.20489","569.105637","215863.943085"
"100","Solanum aphyodendron","112","18.686607","3.871064","0.365781","0.133953","Solanum aphyodendron","112","1795.4375","845.334315","79.876585","2962.316892","Solanum aphyodendron","112","1513","235.962549","22.296365","882.431791","Solanum aphyodendron","112","11656.866071","5205.34004","491.858401","150333.817505"
